"282","Danica","Danico"
"282","Vera","Vero"
"281","Elisabeth","Elisabeth"
"281","Hoa","Hoa"
"281","Jesika","Jesiko"
"280","Margarita","Margarito"
"280","Štefania","Štefanio"
"277","Paulína","Paulíno"
"277","Rebeka","Rebeko"
"275","Edith","Edith"
"273","Alica","Alico"
"272","Luisa","Luiso"
"271","Jenifer","Jenifer"
"271","Lidie","Lidie"
"270","Silva","Silvo"
"268","Liudmyla","Liudmylo"
"266","Melánie","Melánie"
"264","Johanna","Johanno"
"262","Michelle","Michelle"
"262","Ursula","Ursulo"
"261","Světluška","Světluško"
"254","Khrystyna","Khrystyno"
"252","Doubravka","Doubravko"
"252","Josefina","Josefino"
"251","Viktória","Viktório"
"249","Lan","Lan"
"248","Maruška","Maruško"
"247","Hang","Hang"
"247","Sara","Saro"
"246","Antonina","Antonino"
"246","Regína","Regíno"
"245","Štefanie","Štefanie"
"244","Waltraud","Waltraud"
"242","Evžena","Evženo"
"242","Jolanta","Jolanto"
"239","Elfrída","Elfrído"
"239","Hannelore","Hannelore"
"238","Slavěna","Slavěno"
"237","Aleksandra","Aleksandro"
"237","Elfrieda","Elfriedo"
"237","Natali","Natali"
"237","Petruška","Petruško"
"235","Nga","Ngo"
"233","Gerlinda","Gerlindo"
"233","Stefanie","Stefanie"
"232","Christina","Christino"
"231","Libuša","Libušo"
"229","Klaudia","Klaudio"
"229","Lydia","Lydio"
"229","Věruška","Věruško"
"228","Huyen","Huyen"
"225","Samanta","Samanto"
"223","Adriána","Adriáno"
"223","Sophie","Sophie"
"222","Hien","Hien"
"219","Leopoldina","Leopoldino"
"219","Viléma","Vilémo"
"218","Ewa","Ewo"
"218","Lívia","Lívio"
"217","Yaroslava","Yaroslavo"
"216","Zorka","Zorko"
"215","Maruše","Maruše"
"213","Antónia","António"
"213","Linh","Linh"
"212","Dagmara","Dagmaro"
"212","Patricia","Patricio"
"211","Adina","Adino"
"210","Zhanna","Zhanno"
"208","Ľubomíra","Ľubomíro"
"208","Vita","Vito"
"207","Paulina","Paulino"
"206","Pamela","Pamelo"
"206","Rozalie","Rozalie"
"205","Claudie","Claudie"
"205","Evelina","Evelino"
"204","Ráchel","Ráchel"
"202","Anastasie","Anastasie"
"201","Ludvika","Ludviko"
"200","Malvína","Malvíno"
"199","Mia","Mio"
"198","Urszula","Urszulo"
"196","Raisa","Raiso"
"194","Adriena","Adrieno"
"194","Drahuška","Drahuško"
"194","Edeltrauda","Edeltraudo"
"194","Irmgard","Irmgard"
"194","Zinaida","Zinaido"
"193","Leontina","Leontino"
"191","Nathalie","Nathalie"
"190","Nadiia","Nadiio"
"190","Thu","Thu"
"189","Rosemarie","Rosemarie"
"188","Anastázia","Anastázio"
"188","Brigitta","Brigitto"
"188","Caroline","Caroline"
"188","Dung","Dung"
"188","Henrieta","Henrieto"
"187","Blahoslava","Blahoslavo"
"187","Hildegard","Hildegard"
"187","Mai","Mai"
"186","Ljubov","Ljubov"
"184","Emanuela","Emanuelo"
"182","Rut","Rut"
"182","Van","Van"
"181","Thao","Thao"
"180","Oluše","Oluše"
"179","Paula","Paulo"
"177","Rozalia","Rozalio"
"176","Jenovefa","Jenovefo"
"175","Augustina","Augustino"
"174","Christa","Christo"
"174","Melisa","Meliso"
"173","Eleni","Eleni"
"173","Joanna","Joanno"
"172","Elzbieta","Elzbieto"
"172","Gražyna","Gražyno"
"172","Katarzyna","Katarzyno"
"171","Edeltruda","Edeltrudo"
"171","Janette","Janette"
"170","Petronila","Petronilo"
"169","Ilsa","Ilso"
"169","Nadezda","Nadezdo"
"168","Carmen","Carmen"
"168","Hedviga","Hedvigo"
"168","Nikoleta","Nikoleto"
"165","Charlotta","Charlotto"
